# BEAST v10.5.0
# Generated Mon Jan 19 16:15:08 CET 2026 [seed=1768835686400]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-23239.457411014235	-70.06157329547801	-23169.395837718756	9.838155723427468	2015.918008660134	28.79868005330585	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.001	0.001	-23169.395837718756	0.0	-67.29891206453709
1000	-19097.741190813147	-161.89409151995633	-18935.84709929319	7.9553201436157845	2017.8008442399457	52.558290375826076	6.203462600392084	3.5356816287686192	0.25403331684520886	0.24880885887831902	0.2557198935273747	0.2414379307490974	0.24700078328583272	0.9635152569744171	0.0012837530066915329	0.0012837530066915329	-18935.84709929319	0.0	-157.38442586557892
2000	-17261.088556863357	-138.11747651622102	-17122.971080347135	8.400479106296276	2017.3556852772654	46.99279897665106	3.742171554205508	19.37315325494487	0.2675869997248556	0.2389119525381998	0.2692171064708238	0.22428394126612067	0.1055013692564606	0.9889725816243529	8.183612271793308E-4	8.183612271793309E-4	-17122.971080347135	0.0	-131.68331912612936
3000	-16907.62292052161	-143.145093371703	-16764.47782714991	10.611953876327629	2015.144210507234	51.51197893589608	6.104605465913239	20.64360996493498	0.2746861309595475	0.2226074917608188	0.2798913967836883	0.22281498049594528	0.055108436767993	0.9752788721550132	5.430240059965091E-4	5.430240059965092E-4	-16764.47782714991	0.0	-136.4372982709494
4000	-16863.500300775573	-133.29128100661396	-16730.209019768958	11.582396848157867	2014.1737675354036	53.16656655633068	3.730193253719001	23.069769713267487	0.2689446601591	0.2334337587858083	0.2773895761562834	0.22023200489880818	0.08988259422886138	0.9791731386527576	4.625513296907883E-4	4.6255132969078846E-4	-16730.209019768958	0.0	-126.84854113284275
5000	-16858.516617035642	-126.41786056338518	-16732.098756472256	11.126252236192352	2014.6299121473692	51.13752628661929	3.59701987981565	19.746361181865122	0.2662479167766562	0.22978674481162129	0.2853144347078768	0.2186509037038456	0.07355749458515244	0.8761857129295127	5.813834958069419E-4	5.813834958069418E-4	-16732.098756472256	0.0	-120.2660120533604
6000	-16857.199564668263	-129.05657944385558	-16728.142985224407	9.89300930203167	2015.8631550815298	49.69663010093164	3.135054346994862	15.7758971868879	0.2662479167766562	0.23280253552057295	0.27362291000662164	0.22732663769614916	0.10162967247168715	0.7094374947462337	5.527314092438289E-4	5.527314092438286E-4	-16728.142985224407	0.0	-123.49286543956264
7000	-16846.199657122088	-131.3424625653979	-16714.85719455669	10.317032848579911	2015.4391315349817	50.16666726069626	3.89731311636138	16.411266600373565	0.2715929320900998	0.23271197402391797	0.2802999884720752	0.215395105413907	0.12142693370629865	0.6838590790834442	5.338945620798913E-4	5.338945620798915E-4	-16714.85719455669	0.0	-125.45927642561148
8000	-16838.041757300754	-133.5933906114257	-16704.44836668933	10.530877511926443	2015.225286871635	49.34641455489685	3.746913406445827	16.48889303696259	0.2704749484081401	0.229854505060196	0.2836531574514461	0.2160173890802178	0.16117263875566393	0.052921846947506866	4.4759174361287056E-4	4.4759174361287067E-4	-16704.44836668933	0.0	-127.7446352011557
9000	-16847.37864847935	-135.64922570167744	-16711.729422777673	9.860939783968494	2015.8952245995931	47.768220168924486	5.331085201078741	15.22893855688017	0.27215504191690193	0.22223631977986252	0.284112083264124	0.2214965550391116	0.14406901658567134	0.06349313209440326	5.07184670050088E-4	5.071846700500879E-4	-16711.729422777673	0.0	-129.56911044804863
10000	-16842.495468168538	-136.3908509498057	-16706.10461721873	10.622029625894955	2015.1341347576665	50.75589596286796	3.3549760581833596	20.49630056459044	0.2695145408519375	0.23098552532590788	0.27911510535080947	0.22038482847134525	0.15831892547766832	0.04264336317481779	4.7488106108393085E-4	4.748810610839306E-4	-16706.10461721873	0.0	-130.15734248518524
11000	-16835.253659852468	-136.58664669661636	-16698.66701315585	10.589118968006025	2015.1670454155555	51.17804013128705	4.0448433205961924	22.893152330893827	0.26642065478570265	0.22937326115844517	0.2840028735317258	0.22020321052412647	0.06790862593162914	0.2383079191944636	4.940407768952349E-4	4.940407768952349E-4	-16698.66701315585	0.0	-130.07214147928937
12000	-16835.76465162446	-135.6734839206685	-16700.09116770379	10.291031132695153	2015.4651332508663	49.801548448319295	2.9412005534300185	18.060671123864385	0.27677013854115246	0.23028830922164717	0.27403316970524016	0.2189083825319603	0.07735403765501933	0.2448772339405139	4.899563433097553E-4	4.899563433097556E-4	-16700.09116770379	0.0	-129.99335508350646
13000	-16827.829033138154	-129.64048703599224	-16698.188546102163	8.986723790313937	2016.7694405932475	45.48289811790369	3.160550882815035	23.722741319040562	0.27677013854115246	0.22779542810972978	0.2749056439331627	0.2205287894159552	0.10966412031326613	0.3542623250327277	5.779950082708378E-4	5.779950082708379E-4	-16698.188546102163	0.0	-123.06679366343532
14000	-16832.823256331154	-131.17379561144668	-16701.649460719706	10.66278562433574	2015.0933787592257	49.83570575342271	3.544572422963099	20.637163272208884	0.2690714084214683	0.22405792533750335	0.2823948660323931	0.2244758002086353	0.04421046203540957	0.6478543160031408	5.242439107342536E-4	5.242439107342537E-4	-16701.649460719706	0.0	-125.03705945522316
15000	-16838.903011941613	-137.08024498025998	-16701.82276696135	10.772260296272064	2014.9839040872896	52.12033098812569	3.9415036173600315	22.960661616375354	0.2738557685282776	0.22928432591152587	0.2769525499675154	0.21990735559268124	0.117165438270629	0.11858937394799585	4.8108928645839767E-4	4.810892864583975E-4	-16701.82276696135	0.0	-130.50883560736003
16000	-16830.884537461563	-134.2360328780779	-16696.648504583485	10.561369502608322	2015.1947948809532	51.42101142955056	4.3014603798672715	16.86815263740812	0.2729532003611029	0.2264865736454256	0.280870310334761	0.21968991565871057	0.07841662688793483	0.30781339591428875	4.655958791673465E-4	4.655958791673464E-4	-16696.648504583485	0.0	-128.3642271642364
17000	-16832.517755083518	-134.13259271447677	-16698.385162369043	11.368457839154749	2014.387706544407	52.00656793998936	3.2735418457560836	13.659095017480624	0.2689459574287736	0.2320772973463225	0.2772726277846827	0.22170411744022128	0.07741813136463904	0.333144042958889	4.5808731290421733E-4	4.580873129042174E-4	-16698.385162369043	0.0	-128.99383272399865
18000	-16835.319321822994	-135.50648282227507	-16699.81283900072	11.714693848634576	2014.041470534927	54.984570730763195	3.425641693509591	18.324513477393882	0.2682480326875975	0.23362060468902007	0.28029059671185774	0.2178407659115248	0.13492760527387568	0.7133916297401255	4.960864324719687E-4	4.960864324719686E-4	-16699.81283900072	0.0	-129.56666593583847
19000	-16836.196439043077	-140.2411115221804	-16695.955327520896	10.67823772915326	2015.0779266544082	55.14326355998367	5.171468013777673	23.97941354662968	0.2659392456838663	0.23418884088919883	0.2854703750082912	0.2144015384186438	0.13481562015558912	0.8290493591620504	5.082439940090871E-4	5.082439940090869E-4	-16695.955327520896	0.0	-133.25633023830588
20000	-16832.6472749297	-134.4911276230759	-16698.156147306625	10.767264793552611	2014.988899590009	53.91180220577005	3.835769240330479	20.19865166690642	0.2692407863144814	0.23275133675676443	0.2740935944224625	0.22391428250629178	0.11141242603180938	0.7368624535719842	5.30624148103539E-4	5.30624148103539E-4	-16698.156147306625	0.0	-128.22079622614547
21000	-16836.875064116382	-137.08794980678582	-16699.787114309598	10.143739206514121	2015.6124251770475	52.39020456387745	4.763895789282793	20.834112277041942	0.2656643545711496	0.23128763700747812	0.2849600553243333	0.21808795309703913	0.13162533902457133	0.8325125115858398	5.828691649223345E-4	5.828691649223347E-4	-16699.787114309598	0.0	-130.42554315397572
22000	-16843.59438085577	-135.15382904652628	-16708.440551809246	10.365085604082033	2015.3910787794796	52.32442349656683	3.7505121207426546	15.463663008416152	0.2675812272311569	0.232077347180275	0.2822534724915291	0.21808795309703913	0.06770358017972215	0.9592403674649889	5.367905428104687E-4	5.367905428104688E-4	-16708.440551809246	0.0	-129.56042209149584
23000	-16829.707173677045	-132.87747986596133	-16696.829693811083	10.366731907566146	2015.3894324759954	50.1494629083996	2.645551736736751	19.473478668165225	0.27633310925036114	0.2262068251909259	0.28472038549000006	0.21273968006871297	0.169546843605799	0.8921170653946356	5.490122885647995E-4	5.490122885648E-4	-16696.829693811083	0.0	-126.89412457110501
24000	-16834.46673837555	-135.17853248143018	-16699.28820589412	11.124946439511435	2014.6312179440501	52.696166854868025	3.3923820432088245	22.108550243970125	0.27279911727842365	0.23338101505734066	0.2732627141385373	0.22055715352569844	0.13409395205357016	0.6995036031569538	4.898064504347979E-4	4.898064504347977E-4	-16699.28820589412	0.0	-128.808479107573
25000	-16835.869197236745	-137.32434221288992	-16698.544855023854	11.352268567490269	2014.4038958160713	54.840709270132166	4.0030195556041654	15.731196918689191	0.2693470031240964	0.2327617933419132	0.2751750540747509	0.22271614945923962	0.19024771588551936	0.5952055413657638	4.996572309053049E-4	4.996572309053049E-4	-16698.544855023854	0.0	-131.4441844725792
26000	-16831.580862302253	-136.5069184902872	-16695.073943811967	11.095606338127926	2014.6605580454336	53.3229435224394	3.8956938787172404	15.66187867781073	0.2683386496811585	0.2302526018957122	0.2753054072881098	0.22610334113501956	0.15158785965653665	0.19023254746961643	4.1371658838172773E-4	4.137165883817276E-4	-16695.073943811967	0.0	-130.82638823619465
27000	-16827.184545663225	-130.84658484450605	-16696.33796081872	11.283896555260487	2014.472267828301	51.807266166126034	3.2998747770288763	16.46292248266736	0.258303419009383	0.23863836757501783	0.28382716242649064	0.2192310509891086	0.2604563902604942	0.9050328852999349	5.353465022502312E-4	5.353465022502311E-4	-16696.33796081872	0.0	-124.85919239238765
28000	-16822.35877239656	-120.32726827933274	-16702.03150411723	10.01644080056368	2015.7397235829978	46.453724739489175	3.212884798665724	18.07602022886047	0.2662620219180921	0.22985848097802053	0.2813126181655866	0.22256687893830077	0.2872830471953288	0.8274755552898617	5.642740889440849E-4	5.64274088944085E-4	-16702.03150411723	0.0	-114.02964872218672
29000	-16821.924920718342	-124.79349412144714	-16697.131426596894	9.646119577675877	2016.1100448058858	46.31330738562971	3.0559862949576937	13.06757379540896	0.2600982816961041	0.2349327204217544	0.28499457264422107	0.21997442523792046	0.20933190952469985	0.963609923401217	6.016360285086165E-4	6.016360285086164E-4	-16697.131426596894	0.0	-119.35090547107204
30000	-16815.716753344146	-124.9216297007813	-16690.795123643366	8.639530841566895	2017.1166335419946	43.197086968733444	3.7804937477067684	20.037871078168063	0.27136525086477015	0.22908859770953693	0.27479475214198057	0.22475139928371238	0.320271452028942	0.9756185162566722	6.546486551874064E-4	6.546486551874064E-4	-16690.795123643366	0.0	-118.05088345770028
31000	-16817.320539691984	-119.95948528539692	-16697.36105440659	9.046278196897742	2016.7098861866639	43.41572617676478	3.205415416879918	29.246215017451245	0.26536875105219015	0.2321485014863484	0.27366148380173555	0.22882126365972594	0.16996511737238662	0.989911155239028	6.934840954963356E-4	6.934840954963361E-4	-16697.36105440659	0.0	-112.61934904300075
32000	-16819.734677300567	-121.43835329780188	-16698.296324002764	8.848314408150081	2016.9078499754114	43.25472828824148	2.717329016564052	15.063899532300491	0.26263526698038653	0.22985573264172945	0.27827776234811236	0.2292312380297717	0.17675333653066702	0.9415933694507379	6.594537139468847E-4	6.59453713946885E-4	-16698.296324002764	0.0	-115.80639751471033
33000	-16819.179053250566	-120.52123212439608	-16698.65782112617	8.169702274309554	2017.586462109252	40.84629862381468	2.571966196152673	24.81915850082751	0.26544046088809475	0.2275325377137225	0.27845933528014616	0.22856766611803672	0.23412054825549003	0.6421131994623598	7.516331443425256E-4	7.516331443425254E-4	-16698.65782112617	0.0	-113.60708961517314
34000	-16823.759160488	-117.92974241693031	-16705.82941807107	8.063581533892298	2017.6925828496692	39.86630192123863	2.9590456066555904	22.982456363802804	0.26831396534370444	0.23157951072888106	0.27560005186914033	0.2245064720582743	0.22978279095181595	0.8914460740893375	8.131895098437317E-4	8.131895098437318E-4	-16705.82941807107	0.0	-111.01443304759012
35000	-16835.017174849836	-130.95730979082072	-16704.059865059015	9.798645557959205	2015.9575188256024	48.10804260756474	3.2012997559794907	21.81454633268455	0.27033978902116396	0.23296000008267026	0.2726347960706784	0.2240654148254875	0.18499468360824356	0.4671371247039469	5.146324902903351E-4	5.14632490290335E-4	-16704.059865059015	0.0	-124.50563659440051
36000	-16837.854150124138	-134.3748063173532	-16703.479343806786	10.227465749526354	2015.5286986340352	50.87235567467821	4.316829399378011	22.045312621146618	0.2690248282102677	0.23491890863327047	0.2749956489949866	0.22106061416147538	0.16779690560804625	0.8519860986752166	5.307070394036493E-4	5.307070394036491E-4	-16703.479343806786	0.0	-127.64348006502154
37000	-16835.87826252498	-140.76337068737232	-16695.11489183761	10.0618703661451	2015.6942940174165	51.38902981873181	4.162516187689174	27.429154581153014	0.2801405290931235	0.22855606004044718	0.2727836080477477	0.2185198028186818	0.15394122780176456	0.9363363826709127	5.243619040962584E-4	5.24361904096258E-4	-16695.11489183761	0.0	-133.58090087743378
38000	-16850.544954013516	-143.84709391218792	-16706.69786010133	11.158880129101489	2014.59728425446	55.04092662532561	4.5818575319704955	22.466984301717233	0.2738586817412879	0.2313501422278229	0.27754087866079097	0.2172502973700984	0.18885871764320336	0.9313697550839612	5.661269751190832E-4	5.661269751190832E-4	-16706.69786010133	0.0	-136.97232536249825
39000	-16845.302589382092	-143.51968381864722	-16701.782905563447	9.319862629997697	2016.4363017535638	51.07442008063982	4.217164383669689	22.84649946565404	0.27208617896652676	0.23225434650682944	0.27916366090298417	0.21649581362365977	0.14465295284672752	0.6299680535740778	4.923473012517067E-4	4.923473012517066E-4	-16701.782905563447	0.0	-136.81550089343293
40000	-16838.387548681978	-130.12095411945685	-16708.26659456252	9.386273048575081	2016.3698913349865	46.08727008643531	2.9182742484914357	20.485888200557927	0.26946655903259087	0.23156530555294647	0.27878214369319404	0.22018599172126876	0.06536068317335715	0.5943947537393809	5.005893324699635E-4	5.005893324699638E-4	-16708.26659456252	0.0	-124.14070251932418
41000	-16833.00663467484	-121.01443137361461	-16711.992203301223	9.288274357912883	2016.4678900256486	43.3363426342447	3.0442738224884716	19.204421408300956	0.2716557379387574	0.23683979116102943	0.27084522706901537	0.22065924383119798	0.09245543857391125	0.22223726628729357	5.392285333273189E-4	5.392285333273184E-4	-16711.992203301223	0.0	-115.01614884995482
42000	-16841.750980878413	-136.7663041753171	-16704.984676703094	9.60477401152346	2016.1513903720381	48.7458222849398	4.110156064253153	21.696370554931594	0.27188118448464965	0.22897015247728106	0.27919381983481045	0.21995484320325895	0.06868728516007412	0.8060159227132228	5.18690642536066E-4	5.186906425360662E-4	-16704.984676703094	0.0	-130.31147708579957
